text,sentiment
I love the new design of the website! So cool!,2
Feeling sad today. Nothing is going right.,0
"This product is okay, not too bad, not great.",1
What a great day! Everything is awesome.,2
Terrible service at the restaurant.,0
I'm neutral about this whole situation.,1
"Absolutely fantastic experience, highly recommend.",2
I hate waiting in long queues. Worst experience.,0
"The event was average, nothing special.",1
Such a peaceful and relaxing evening.,2
Disappointed with the customer support.,0
It’s just another normal day.,1
"Could be better, could be worse.",1
I'm really happy with the outcome!,2
Not happy with the delay in delivery.,0
